FRBname      gl        gb         S       Seu      Sel       W       Weu      Wel        F        Feu      Fel        DM         DM_NE2001   DM_YMW16     SURVEY    SN      Gain     Tsys    BW         Npol     SN0     Ref
010312       274.72    -33.3      0.25    0.00     0.00      24.3    +1.3     -1.3       6.1      0.00     0.00       1187       51          67           SMC       11      0.69     28      288        2        8       Zhang_2019
010724	     300.653   -41.805    30.0    +10.0    -10.0     5.00    0.00     0.00       150.0    0.00     0.00       375        44.58       94.03        SMC       23      0.69     28      288        2        7       Lorimer_2007
090625	     226.443   -60.030    1.14    +0.42    -0.21     1.92    +0.83    -0.77      2.19     +2.10    -1.12      899.55     31.69       25.48        HS        30      0.69     28      338.281    2        10      Champion_2016
110214       290.7     -66.6      27      0.00     0.00      1.9     +0.9     -0.9       54       0.00     0.00       168.8      31.1        21.1         HS        13      0.69     28      338.281    2        10      Petroff_2018
110220	     50.828    -54.766    1.3     0.00     0.00      5.60    +0.10    -0.10      7.28     +0.13    -0.13      944.38     34.77       24.12        HS        49      0.69     28      338.281    2        9       Thornton_2013
110523	     56.119    -37.819    0.6     0.00     0.00      1.73    +0.17    -0.17      1.04     0.00     0.00       623.30     43.52       33.0         GBTIM     42      2        25      200        2        8       Masui_2015
110626	     355.861   -41.752    0.4     0.00     0.00      1.4     0.00     0.00       0.56     0.00     0.00       723.0      47.46       33.57        HS        11      0.581    28      338.281    2        9       Thornton_2013
110703	     80.997    -59.019    0.5     0.00     0.00      4.3     0.00     0.00       2.15     0.00     0.00       1103.6     32.33       23.08        HS        16      0.69     28      338.281    2        9       Thornton_2013
120127	     49.287    -66.203    0.5     0.00     0.00      1.1     0.00     0.00       0.55     0.00     0.00       553.3      31.82       20.63        HS        11      0.69     28      338.281    2        9       Thornton_2013
121002	     308.219   -26.264    0.43    +0.33    -0.06     5.44    +3.50    -1.20      2.34     +4.46    -0.77      1629.18    74.27       60.5         HS        16      0.581    28      338.281    2        10      Champion_2016
121102	     174.950   -0.225     0.40    +0.40    -0.10     3.0     +0.5     -0.5       1.20     +1.60    -0.45      557        188         287.12       PALFA     14      0.7      30      322.6      2        7       Spitler_2014
130626	     7.450     +27.420    0.74    +0.9     -0.11     1.98    +1.20    -0.44      1.47     +2.45    -0.50      952.4      66.87       65.09        HS        21      0.735    28      338.281    2        10      Champion_2016
130628	     225.955   +30.655    1.91    +0.29    -0.23     0.64    +0.13    -0.13      1.22     +0.47    -0.37      469.88     52.58       46.99        HS        29      0.69     28      338.281    2        10      Champion_2016
130729	     324.787   +54.744    0.22    +0.17    -0.05     15.61   +9.98    -6.27      3.43     +6.55    -1.81      861        31          25.42        HS        14      0.581    28      338.281    2        10      Champion_2016
131104	     260.549   -21.925    1.12    0.00     0.00      2.08    0.00     0.00       2.33     0.00     0.00       779        71.1        220.2        HS        30      0.69     28      338.281    2        10      Ravi_2015
140514	     50.841    -54.611    0.47    +0.11    -0.08     2.80    +3.50    -0.70      1.32     +2.34    -0.50      562.7      34.9        24.17        HS        16      0.735    28      338.281    2        10      Petroff_2015
150215	     24.662    +5.280     0.70    +0.28    -0.01     2.80    +1.20    -0.50      1.96     +1.96    -0.37      1105.6     427.2       296.38       HS        19      0.581    28      338.281    2        10      Petroff_2017
150418	     232.665   -3.234     2.20    +0.60    -0.30     0.80    +0.30    -0.30      1.76     +1.32    -0.81      776.2      188.5       325.54       HS        39      0.69     28      338.281    2        10      Keane_2016
150610       278.0     +16.5      0.7     +0.2     -0.2      2.0     +1.0     -1.0       1.3      +0.7     -0.7       1593.9     122         122.9        HS        18      0.69     28      338.281    2        10      Bhandari_2017
150807	     336.709   -54.40     128.0   +5.00    -5.00     0.35    +0.05    -0.05      44.80    +8.40    -7.90      266.5      36.9        25.07        HS        40      0.69     28      338.281    2        10      Ravi_2016
151206       32.6      -8.5       0.3     +0.04    -0.04     3.0     +0.6     -0.6       0.9      +0.2     -0.2       1909.8     160         161.0        HS        10      0.69     28      338.281    2        10      Bhandari_2017
151230       239.0     +34.8      0.42    +0.03    -0.03     4.4     +0.5     -0.5       1.9      +0.3     -0.3       960.4      38          37.8         HS        17      0.69     28      338.281    2        10      Bhandari_2017    
160102       18.9      -60.8      0.5     +0.1     -0.1      3.4     +0.8     -0.8       1.8      +0.5     -0.5       2596.1     13          21.78        HS        16      0.581    28      338.281    2        10      Bhandari_2017
160317	     246.050   -0.990     3.0     0.00     0.00      21.0    +7.0     -7.0       63.0     0.00     0.00       1165       319.6       394.62       UMT1      13      3        400     16         1        10      Caleb_2017
160410	     220.360   27.190     7.0     0.00     0.00      4.0     +1.0     -1.0       28.0     0.00     0.00       278        57.7        56.71        UMT1      13      3        400     16         1        10      Caleb_2017
160608	     254.110   -9.539     4.3     0.00     0.00      9.0     +6.0     -6.0       38.7     0.00     0.00       682        238.3       310.31       UMT1      12      3        400     16         1        10      Caleb_2017
170107       226       +51.4      22.3    0.00     0.00      2.6     0.00     0.00       57.98    0.00     0.00       609.5      35          25.21        CRAFT     16      0.032    58      336        2        10      Bannister_2017
170416       337.6     -50.0      19.4    0.00     0.00      5.0     +0.6     -0.6       97.0     +2.00    -2.00      523.2      40          27.51        CRAFT     13      0.029    58      336        2        10      Shannon_2018
170428       359.2     -49.9      7.7     0.00     0.00      4.4     +0.5     -0.5       34.0     +2.00    -2.00      991.7      40          27.38        CRAFT     10.5    0.029    58      336        2        10      Shannon_2018
170707       269.1     -50.5      14.8    0.00     0.00      3.5     +0.5     -0.5       52.0     +3.00    -3.00      235.2      36          26.89        CRAFT     9.5     0.029    58      336        2        10      Shannon_2018
170712       329.3     -51.6      37.8    0.00     0.00      1.4     +0.3     -0.3       53.0     +2.00    -2.00      312.79     38          26.53        CRAFT     12.7    0.029    58      336        2        10      Shannon_2018
170906       34.2      -49.5      29.6    0.00     0.00      2.5     +0.3     -0.3       74.0     +7.0     -7.0       390.3      39          26.57        CRAFT     17      0.029    58      336        2        10      Shannon_2018
170922       45.07     -38.7      5.19    0.00     0.00      1.8     +0.4     -0.4       177      0.00     0.00       1111       45          32.97        UMT2      20      1.7      330     31.25      1        9       Farah_2019
171003       283.4     +46.3      40.5    0.00     0.00      2.0     +0.2     -0.2       81.0     +5.0     -5.0       463.2      40          35.41        CRAFT     13.8    0.029    58      336        2        10      Shannon_2018
171004       282.2     +48.9      22.0    0.00     0.00      2.0     +0.3     -0.3       44.0     +2.0     -2.0       304        38          32.98        CRAFT     10.9    0.029    58      336        2        10      Shannon_2018
171019       52.5      -49.3      40.5    0.00     0.00      5.4     +0.3     -0.3       219.0    +5.0     -5.0       460.8      37          26.28        CRAFT     23.4    0.029    58      336        2        10      Shannon_2018
171020       29.3      -51.3      117.6   0.00     0.00      1.7     +0.2     -0.2       200.0    +500     -100       114.1      38          25.84        CRAFT     19.5    0.029    58      336        2        10      Shannon_2018
171116       205.0     -49.8      19.6    0.00     0.00      3.2     +0.5     -0.5       63.0     +2.0     -2.0       618.5      36          37.48        CRAFT     11.8    0.029    58      336        2        10      Shannon_2018
171213       200.6     -48.3      88.6    0.00     0.00      1.5     +0.2     -0.2       133      +12.0    -12.0      158.6      36          33.77        CRAFT     25.1    0.029    58      336        2        10      Shannon_2018
171216       273.9     -48.4      21      0.00     0.00      1.9     +0.3     -0.3       40       +2.0     -2.0       203.1      37          28.67        CRAFT     8       0.029    58      336        2        10      Shannon_2018
180110       7.8       -51.9      128.1   0.00     0.00      3.2     +0.2     -0.2       420      +20      -20        715.7      38          26.05        CRAFT     35.6    0.029    58      336        2        10      Shannon_2018
180119       199.5     -50.4      40.7    0.00     0.00      2.7     +0.5     -0.5       110      +3       -3         402.7      36          37.88        CRAFT     15.9    0.029    58      336        2        10      Shannon_2018
180128.0     326.7     +52.2      17.5    0.00     0.00      2.9     +0.3     -0.3       51       +2       -2         441.4      32          26.56        CRAFT     12.4    0.029    58      336        2        10      Shannon_2018
180128.2     327.8     -48.6      28.7    0.00     0.00      2.3     +0.2     -0.2       66       +4       -4         495.9      40          28.28        CRAFT     9.6     0.029    58      336        2        10      Shannon_2018
180130       5.9       -51.8      23.1    0.00     0.00      4.1     +1.0     -1.0       95       +3       -3         343.5      39          26.14        CRAFT     10.2    0.029    58      336        2        10      Shannon_2018
180131       0.6       -50.7      22.2    0.00     0.00      4.5     +0.4     -0.4       100      +3       -3         657.7      40          26.9         CRAFT     13.8    0.029    58      336        2        10      Shannon_2018
180212       338.3     +50        53      0.00     0.00      1.81    +0.06    -0.06      96       +8       -8         167.5      33          27.83        CRAFT     18.3    0.029    58      336        2        10      Shannon_2018
