#S W T DMe thres logL Z DMi DMh DMs
5.463245257413377232e+01 4.743568908647855409e+00 4.629143926322567495e+02 1.906324299560034206e+02 1.185500560226648403e+01 4.386207163566773204e+01 1.759328524978923669e-01 1.471399653358909632e+02 4.730995947903134180e+01 3.834258503861143197e+00
1.243945610327887863e+01 1.377147683774136944e+01 1.543141851152977040e+02 8.173226320416414410e+02 6.957674582103664740e+00 4.475774782144707586e+01 8.734347647076446952e-01 7.801926449085707418e+02 4.333933882065719700e+01 2.622126988758489219e+01
1.904573057334508590e+01 4.243228736059169393e+00 8.819595540399843685e+02 1.485213922588943888e+03 1.253447500662238490e+01 4.549553985202118866e+01 1.455530364502433116e+00 1.297573811077296796e+03 4.350720841606507179e+02 2.568390725482143111e+01
2.657127145003686408e+01 9.053514107168680880e+00 8.438833989535078217e+02 6.152813718367405045e+02 8.581155642500187142e+00 4.454486039389252738e+01 5.422646304813379947e-01 4.762150805854935243e+02 2.138205070955079066e+02 6.565151935066515509e-01
9.787562439976955631e+00 7.455366251143766831e+00 6.067775701356718798e+01 6.578836845197248522e+02 9.456270323865252792e+00 4.451495247801482691e+01 6.912795449336667231e-01 6.132027817489063182e+02 4.137122488278939159e+01 3.419667202266603567e+01
3.075336819171831237e+01 2.854085561988156439e+00 6.509652966175046629e+01 5.540400940504453047e+02 1.528343154837213724e+01 4.472838278209849250e+01 5.334673979099538998e-01 4.681413947368279764e+02 9.277972052858780216e+01 3.894313439171459379e+01
1.039510802999385497e+01 8.366215498183274590e+00 2.298594602193556966e+02 4.980326885942131980e+02 8.926677540194258853e+00 4.412718837267559735e+01 5.055187235335741880e-01 4.425256790308589530e+02 4.480604286123175228e+01 3.876079932375523640e+01
2.253736696116375882e+01 4.828446875496468671e+00 2.293744872968172785e+02 5.024034578955466941e+02 1.175034564078178967e+01 4.440761243892737298e+01 4.803112228448381815e-01 4.194571479757121324e+02 1.194637243674166456e+02 3.322629100480551045e+00
2.986422745552032154e+01 4.121247691609955410e+00 5.239131410850638986e+02 3.428060877324354578e+02 1.271862058930716088e+01 4.423017427507873123e+01 3.606623761213383350e-01 3.107206546311094826e+02 2.494989144260421909e+01 1.870755019992820678e+01
1.130310232238324808e+01 6.265851540938723652e+00 1.264586822567217439e+00 3.834028272558770709e+02 1.031488332962613264e+01 4.402731115940736117e+01 3.748768313429927668e-01 3.235503024622563544e+02 5.290715989273021336e+01 2.938268974340093465e+01
1.478161151801828410e+01 3.084860246317056465e+00 1.009017953790729848e+03 7.585427013717740010e+02 1.470065290033642036e+01 4.467379377560709486e+01 7.946314693068594615e-01 7.081210689563675942e+02 4.513505840237846911e+01 4.535318986413265208e+01
2.007168020149823562e+01 4.833255819943446774e+00 2.765322106855061861e+02 5.261874305720459688e+02 1.174449856541954418e+01 4.421986890187025665e+01 4.501230731661927109e-01 3.918903151158793889e+02 1.865217943887897718e+02 8.225551393861485039e+00
1.601391983361651938e+01 9.903259269553798205e+00 4.899918132243619766e+02 4.850347732335155229e+02 8.204748929541761271e+00 4.438346427165505048e+01 5.176275583790707069e-01 4.536170891476755855e+02 2.654090929940801402e+01 2.113943388971020099e+01
2.331723383971672448e+01 2.068232643068367071e+00 4.676156594692450881e+02 1.945482289681196164e+02 1.795372944637138346e+01 4.345272092385756224e+01 1.966290158099820440e-01 1.650954778367037648e+02 3.096046859313848376e+00 3.214796973996862306e+01
3.046274158523563003e+01 1.478865729070415824e+01 5.216424997868308537e+02 9.135993960307755515e+02 6.714133898969608438e+00 4.500088718428047230e+01 6.175996443907668665e-01 5.454348410560130560e+02 5.731548974523760762e+02 2.238795575208449762e+01
1.586973663441603044e+01 1.126194965583784580e+01 1.467828096148798238e+02 4.300112327968731165e+02 7.693918465804806317e+00 4.419969138383125085e+01 4.795134058115406717e-01 4.187281317183288252e+02 1.339349721523137937e+01 3.300002089601539179e+00
3.684905447657992994e+01 1.867407785399642250e+00 1.016551778059788148e+03 2.461505214198369060e+02 1.889447320624211102e+01 4.377447215833640115e+01 2.191613184943369541e-01 1.847695003704601504e+02 7.427686589733006883e+01 5.565006557567531154e-01
3.397034103431227692e+01 8.222467166911116010e+00 2.454189995742574695e+02 2.873446836550204466e+02 9.004369256166311786e+00 4.402306480739808592e+01 2.929894110460616874e-01 2.500249712154528368e+02 8.503719630442718724e+00 3.975027337720220544e+01
1.709225386018190207e+01 1.550177554566487892e+01 1.274939953373733488e+03 3.174203761176448779e+02 6.557882761488779799e+00 4.392573184932236074e+01 3.082197792081013965e-01 2.636184328673485879e+02 6.713932070404410979e+01 3.245445615825304220e+00
4.255670363835258030e+01 1.843488322578603622e+00 1.149574565975767655e+02 3.465391349603603999e+02 1.901665707559053331e+01 4.440809656102783975e+01 3.459628330108611705e-01 2.974674461034097135e+02 4.709544621846116286e+01 1.895322313606772013e+01
1.953676174289920908e+01 2.468133944041890349e+00 1.088944415202997504e+02 2.865014754362829308e+02 1.643501133825508731e+01 4.373868948788471300e+01 2.849291626445711323e-01 2.428430953301196098e+02 4.096407211453478681e+01 1.513385367769607370e+01
2.655054621469390952e+01 6.493850325824881864e+00 5.615427709458372192e+02 1.065150857447561293e+03 1.013218785536099631e+01 4.529901539026915458e+01 1.118438440377846899e+00 1.001739688133633422e+03 9.627051019296176548e+01 3.806214843097098566e+01
