#S W T DMe thres logL Z DMi DMh DMs
3.888242191086252464e-01 7.239054668950395843e+00 2.084277472011963184e+01 1.252200139440451039e+03 2.056395578020560055e-01 4.370325334368623516e+01 1.313744528434717562e+00 1.174509348251853226e+03 1.393651103154895736e+02 4.039153270689293151e+01
8.246834838982852744e+00 2.147404756362240263e+00 2.084277472011963184e+01 1.479879608710817138e+03 3.775640484252070217e-01 4.498213644320496485e+01 1.303868035218924915e+00 1.165884884940669735e+03 7.023546710370198980e+02 2.104773628441887823e+01
5.174760642540198186e-01 4.588574928311175860e+00 5.488271029906747422e+00 6.369111232200323229e+02 2.582906442879009390e-01 4.314866980501715688e+01 6.536236362575484904e-01 5.785674795350513477e+02 4.664828657198321338e+01 4.983014165088974323e+01
2.162788090025098420e-01 8.865700086213770703e+00 5.488271029906747422e+00 2.470223944744276196e+03 1.858194078098240609e-01 4.431563612968297861e+01 2.937713762362208492e+00 2.460920216177867587e+03 2.077520258645974138e+01 1.586021743077015778e+01
7.610123623285506289e-01 5.327829969782854391e+00 6.781427165526873857e+00 6.240367929717691595e+02 2.397024159394386678e-01 4.333448616890046878e+01 6.776798869100617573e-01 6.006940339265131570e+02 1.586582487013844833e+01 2.329585248507554596e+01
8.315506395268053907e+00 1.810141500185413532e+00 6.781427165526873857e+00 7.574075481574537889e+02 4.112361899791296960e-01 4.443569772330364742e+01 7.932631599652650856e-01 7.068660347875323851e+02 6.392560456308064687e+01 2.670862941209129460e+01
4.726317799917740814e-01 1.135303388162674132e+01 3.597961186172402570e+00 2.006106356483480113e+03 1.642069832760362225e-01 4.454181355207922621e+01 2.286932107935474079e+00 1.976351314606296683e+03 6.143639623458879839e+01 3.636640628448981971e+01
4.101961195837750540e-01 4.385215258026425644e+00 3.597961186172402570e+00 1.976845335338750829e+03 2.642117522116371187e-01 4.396366041156568372e+01 1.766406214787775486e+00 1.559839911828590175e+03 1.141019674136107596e+03 1.258672106260895163e+01
1.329958914003715131e+00 4.039016739584718074e+00 2.774814032234619887e+01 8.700500103854124063e+02 2.753022513573555874e-01 4.381345877508991293e+01 9.482123262292351251e-01 8.482672300083178243e+02 2.890263429919679439e+01 1.353484693100315894e+01
6.876568250208502375e-01 1.720257696833559180e+01 1.432698762673325188e+00 2.242210827356615482e+03 1.333984657524392159e-01 4.465555541335214684e+01 2.524383447270496017e+00 2.157492596099240927e+03 2.740218604411277283e+02 2.455767148439664993e+01
4.917379619173433691e-01 9.484005972350800562e+00 1.432698762673325188e+00 1.548403227975551999e+03 1.796601178050475922e-01 4.413668864106634260e+01 1.691080169355979379e+00 1.497370662887529534e+03 1.059688293037448119e+02 3.136389459600075114e+01
1.273592641898646738e+00 5.135860671982888093e+00 1.432698762673325188e+00 9.329534404527544211e+02 2.441411426000956453e-01 4.393249290308287414e+01 1.002570436457249858e+00 8.975115380659296989e+02 4.354426820035240553e+01 2.743063773130631944e+01
4.297036055616974437e+00 4.612656449471115749e+00 1.432698762673325188e+00 1.340114993099306048e+03 2.576155266793049847e-01 4.483481559028980001e+01 1.409531034263568960e+00 1.257863244688109717e+03 1.718564136910590605e+02 2.633172672815770454e+01
5.059135547176156766e-01 5.117619147425476633e+00 1.186747223756620606e+01 1.058984999371392632e+03 2.445758706441252261e-01 4.366490987467008722e+01 9.795200955191780690e-01 8.766915249269710557e+02 3.553706114768485804e+02 5.482984467895840375e+00
2.942620106268595270e-01 3.872484045972950373e+00 1.186747223756620606e+01 1.354443048592607965e+03 2.811595055617752137e-01 4.379932396253273197e+01 1.487076875890522176e+00 1.324720876594240963e+03 7.036443159769056876e+01 3.556895080688576627e+00
2.086961834200090071e-01 8.560513722790565438e+00 6.671535234435766348e+00 8.408709572969679584e+02 1.891026764391227355e-01 4.263293848561519894e+01 5.957482156803026729e-01 5.253423009038132250e+02 4.783111992923556386e+02 2.519309114302438601e+01
1.118398514144685940e+00 3.789172547576090899e+00 2.085286881428744010e+01 1.205570935506106025e+03 2.842335886767308750e-01 4.428969074807568518e+01 1.328207517227754764e+00 1.187138883198138501e+03 1.725307970158590720e+01 2.566056303975923214e+01
9.383561422575422695e-01 3.017469107311545073e+01 2.085286881428744010e+01 1.818780908508991160e+03 1.007224249837820607e-01 4.454526383622454944e+01 2.056684615466987331e+00 1.795577874703452608e+03 6.036340633739197870e+01 1.056095012815779199e+01
2.060471386512303660e+00 5.367072121986000255e+00 1.253543187586281782e+01 9.696833246076606656e+02 2.388244981688504021e-01 4.398487527892969950e+01 9.151684549758256626e-01 8.182546234928227022e+02 2.679126600882480602e+02 2.209881146485217940e+01
5.414693888377976272e+00 4.266350890193491452e+00 1.253543187586281782e+01 4.428289660924812665e+02 2.678670554757959787e-01 4.371799609675515086e+01 4.863105989588020206e-01 4.249391601899150146e+02 1.878824747670497786e+01 7.801560649594952324e+00
2.582454383607961090e-01 1.027548182817847433e+01 2.158606640609434635e+01 8.498415773573144634e+02 1.726022654866083417e-01 4.319342673357760987e+01 8.749844052366925196e-01 7.816064250473770016e+02 8.964732142211988730e+01 3.829252504796333767e+01
3.715280992118563108e-01 6.162078140235391466e+00 2.158606640609434635e+01 1.968228043177166228e+03 2.228866151557119812e-01 4.434020593740427074e+01 2.232334447459085602e+00 1.934154600095174374e+03 9.999424761702185549e+01 1.014251620043657987e+01
2.476295878268507111e-01 8.388295499049776893e+00 2.122368474414446382e+01 3.880015838199509517e+02 1.910340262098532693e-01 4.229640893561204251e+01 3.918593156882675954e-01 3.389217767556584704e+02 5.235366989931524984e+01 1.595851677530305501e+01
1.229081863597701441e+00 5.575170676268619729e+00 1.790255372375949144e-02 1.652910550238717178e+03 2.343249353539430813e-01 4.474945347498402271e+01 1.853770789475605696e+00 1.631735203652206792e+03 5.864697231994273352e+01 1.782613225662815770e+00
3.839896666136635162e-01 6.464425248066337559e+00 1.790255372375949144e-02 2.192231888090759639e+03 2.176118948631629302e-01 4.455824244752771790e+01 2.503645967260081484e+00 2.141825182591099747e+03 1.346342428581118895e+02 4.197300758863867998e+01
6.654499801552285376e+00 4.686422520610883602e+00 1.790255372375949144e-02 3.263906558111792720e+02 2.555800017878169794e-01 4.361810905831937646e+01 3.169835961431658466e-01 2.714593567904041720e+02 3.077661726929724750e+01 4.156700245589870235e+01
1.567334431945000084e+01 2.666981040708862771e+00 1.137142131259277456e+01 1.085927928527969755e+02 3.387954938325979937e-01 4.274945748588866934e+01 8.399314115379208356e-02 6.889247956304045317e+01 6.151981412270345118e+00 3.688288589548246676e+01
1.440246702946933022e+00 2.326042307218483263e+00 4.565053263355998325e+01 4.811519652959320297e+02 3.627761977835461948e-01 4.328229214165156691e+01 5.188090499996758087e-01 4.546993078979451184e+02 2.084447859068992415e+01 1.933205686191351091e+01
2.015380184658085994e-01 1.189851661632646262e+01 4.901904107449588821e+00 1.789571251064988701e+03 1.603988236173786441e-01 4.382996943479716379e+01 1.993034118217564821e+00 1.744604933336704789e+03 1.208376549342250428e+02 1.374806819714022765e+01
5.128464041691135344e-01 1.783627186003896581e+00 1.487445622943361023e+00 6.341719868309867252e+02 4.142815074952715948e-01 4.285997142806684224e+01 5.632099339851723840e-01 4.954387991033820526e+02 2.008123562326589706e+02 1.605674099656237885e+01
2.784094125128335206e-01 6.299116645399224446e+00 1.487445622943361023e+00 1.903691884495859540e+03 2.204488127474034387e-01 4.391501143976004329e+01 1.508579239033016162e+00 1.343049908370604271e+03 1.361400628090741975e+03 4.501419374751721136e+01
3.233225048037524085e-01 9.333417808004698557e+00 1.487445622943361023e+00 1.177018647719237833e+03 1.811036635862259825e-01 4.364669240438795583e+01 1.160572578535105315e+00 1.039273567042175500e+03 2.693596197769769560e+02 2.824862436198948856e+01
3.476176551003092863e-01 2.670917623137732733e+00 8.778949631188710967e+00 3.464000675087938816e+02 3.385457316979793574e-01 4.223318158173386649e+01 3.041506358422766398e-01 2.599777995907928698e+02 9.337525203240198834e+01 1.933240362379057231e+01
1.121379672299433805e+00 5.282566601699822506e+00 2.457073813104424076e+01 1.201651529346587722e+03 2.407271636804425297e-01 4.430046185982772755e+01 1.221778037117574378e+00 1.093603900495352718e+03 2.015363306092228584e+02 3.852151813508238121e+01
2.425881769367571883e-01 8.771597595074570819e+00 1.093123274945449630e+01 4.104016043601063757e+02 1.868134924588610302e-01 4.225762702529983983e+01 4.292254757916862395e-01 3.728488636335991373e+02 2.702151438786393811e+01 2.664981934426023358e+01
2.929436300762264245e-01 9.820443764033527145e+00 1.671945065375844308e+01 5.676793808159525270e+02 1.765558178634039355e-01 4.283815733951164617e+01 6.042103765527194748e-01 5.331203955559847145e+02 3.121160507681194218e+01 2.422827768036098206e+01
8.660098248531399534e+00 5.241751232865351717e+00 1.671945065375844308e+01 1.113415254765195186e+03 2.416625681964827410e-01 4.490220886754027418e+01 1.216775478538306476e+00 1.089190548104131040e+03 2.223687359737832736e+01 3.146386210365229630e+01
1.262480137703593241e+00 4.754763557875564928e+00 3.725266812485332313e+00 1.176557953516766474e+03 2.537366062143213141e-01 4.413500436669840354e+01 1.302935656171281043e+00 1.165070702344395386e+03 2.368153593958496828e+01 2.772864376663947361e+00
1.259577281095089596e+00 8.361517872654156136e+00 3.725266812485332313e+00 1.221269615950279785e+03 1.913396733948851958e-01 4.429099222758559762e+01 1.289774718197080450e+00 1.153578158966979345e+03 1.258767507661726768e+02 2.912143607211369201e+01
9.925825095996836822e+00 5.809416948256407309e+00 1.759139417626804658e+01 6.335010227658303847e+02 2.295521241366723919e-01 4.434320546379602490e+01 6.382105374357439631e-01 5.643911964131031027e+02 9.363547268726046013e+01 1.958097308413183768e+01
3.522083995912458909e-01 1.320082568456171934e+01 1.424208909602413264e+01 1.718382324209682793e+03 1.522814632983280070e-01 4.415019172806073300e+01 1.760128893795428917e+00 1.554641511771253136e+03 4.168062293969588836e+02 3.513951810788900332e+01
1.283292550321222025e+00 9.199645703846913491e+00 1.424208909602413264e+01 1.721510511149039985e+03 1.824156262218909197e-01 4.462171201117657660e+01 1.885522571138340986e+00 1.657607058129564848e+03 1.381330454468974551e+02 4.626181061447660881e+01
1.569607623146593578e-01 5.678494276763191806e+01 2.581846053088414905e+01 2.067422851049432211e+03 7.342280860196144510e-02 4.402234984191768774e+01 2.371979859867920482e+00 2.041931365843173353e+03 6.832291872745254580e+01 1.763385598617377426e+01
6.015503915362221399e+00 1.780098997121328575e+00 2.685380154214796633e+01 4.560220264962134706e+02 4.146918610394555449e-01 4.381016669299957300e+01 4.766883804072121755e-01 4.161467260058389002e+02 2.089793454981085574e+01 3.798545834957127454e+01
3.002013231459432219e-01 6.345168472009819816e+00 2.685380154214796633e+01 1.685242179757909980e+03 2.196473716142216259e-01 4.371415559198484857e+01 1.581936800537235177e+00 1.405581317915545924e+03 6.804756342481696265e+02 4.159103661258956919e+01
3.107096048880445549e-01 6.252506251019711137e+00 2.685380154214796633e+01 1.672493303284399190e+03 2.212689740682902972e-01 4.389520034057223086e+01 1.824303903370892321e+00 1.607725118256061251e+03 1.529082531538543321e+02 3.001678463592886814e+01
2.077314271238912546e+00 1.514222001939545770e+01 7.358566599847288003e+00 1.509489030986356283e+03 1.421846827734538354e-01 4.483474970738367205e+01 1.680894692730801054e+00 1.488807937226400782e+03 3.093151782232731506e+01 2.451231667860524510e+01
4.307845481278307354e-01 3.643550265550222544e+00 7.358566599847288003e+00 7.774592282793688582e+02 2.898579436509344798e-01 4.320064182195462621e+01 8.266415251745025117e-01 7.374250790456731011e+02 3.361911685800252059e+01 3.950892255729916513e+01
1.413877949411360413e-01 1.902406861156244844e+01 1.057984864288642868e+01 7.072483643346652116e+02 1.268515819780433040e-01 4.254796815078204020e+01 7.066586596366635220e-01 6.273386220528550439e+02 9.000013368335513064e+01 4.637851997123026138e+01
4.692054207148250722e-01 4.984109547246633021e+00 1.577280657204643388e+00 2.384122456072978366e+03 2.478299560650203126e-01 4.459279092857723015e+01 2.771106663182202556e+00 2.340416379294812032e+03 1.206160967142999425e+02 4.420418064539679648e+01
